Seed	CV	CpuTime	PRPD
26161	38	27.0095	815477
11440	34	24.0753	729629
28899	39	23.0841	836938
28270	35	21.0285	751091
31307	42	20.0413	901323
29724	28	25.0543	600887
27155	47	18.0482	1.00861e+06
11415	15	27.0677	321920
3777	45	23.0286	965690
18212	27	29.0997	579438
18699	29	34.0814	622340
30175	46	18.0712	987145
16314	30	20.0491	643805
27264	27	28.0051	579420
10791	42	18.0554	901328
29268	25	24.0878	536504
29738	28	25.0408	600870
4234	36	21.0481	772550
32145	42	20.0323	901303
18359	33	24.0679	708179
17259	30	23.0214	643793
21122	47	19.0145	1.0086e+06
672	46	23.093	987162
4564	37	25.0475	794033
31120	24	24.0009	515033
4271	35	27.0361	751083
27484	36	24.0932	772547
3176	27	28.0723	579420
12971	35	21.0807	751088
31468	35	22.0132	751104
21531	29	28.0054	622335
23653	35	20.0803	751109
30878	40	27.049	858406
2414	30	33.051	643790
16224	28	23.0848	600879
24622	19	37.0383	407758
10723	38	20.0324	815464
8245	28	29.0305	600876
31361	45	24.0008	965687
13577	34	27.0581	729652
3743	33	26.0884	708186
10060	36	22.001	772558
7541	31	24.0098	665269
5634	21	29.0431	450663
26061	23	25.0286	493595
2260	38	23.072	815483
6478	34	24.0903	729639
22251	33	18.0719	708187
30643	24	26.0654	515050
7635	33	20.0366	708176
8676	27	23.0558	579433
15666	25	29.0652	536507
12941	29	27.07	622334
22400	26	26.075	557961
5843	24	32.0042	515045
13051	46	16.0849	987181
4179	27	31.0535	579408
15359	31	24.0005	665251
27842	28	27.0561	600887
16731	37	25.0062	794020
31885	42	25.0327	901313
4110	31	25.0185	665256
6280	29	24.0058	622333
8783	32	23.0859	686723
7662	33	20.0087	708173
30543	32	29.0424	686699
725	30	24.0738	643804
1925	20	30.0674	429224
24489	29	31.0595	622347
4237	25	24.0693	536523
10771	27	26.0004	579435
29279	31	27.0564	665257
25743	31	28.0591	665244
1046	39	20.0989	836943
21950	29	19.0917	622345
25788	30	27.0488	643803
7235	50	16.0831	1.07299e+06
11470	27	21.0106	579421
13010	36	24.0258	772558
31208	35	23.0216	751102
32361	39	20.0234	836926
16759	51	21.0671	1.09443e+06
9587	34	24.0102	729634
15622	31	23.0097	665254
1954	30	24.0069	643836
22886	16	28.055	343366
22452	33	26.0454	708180
5831	23	24.0555	493588
28829	37	23.0826	794027
451	26	26.0966	557956
20274	17	39.0978	364826
3842	31	21.0556	665245
19809	33	23.0481	708185
23371	37	22.0724	794017
8203	31	20.0039	665266
22061	35	21.0144	751118
13818	23	24.0473	493582
15784	43	20.0505	922777
5569	27	23.048	579418
15066	43	21.0167	922780
