Seed	CV	CpuTime	PRPD
27778	2	47.0508	40750.9
1334	0	44.0546	10.998
16279	0	47.0519	8.35031
3125	0	58.0261	8.35031
10411	0	61.0747	4.48065
31957	2	50.0423	40740.5
10869	0	53.0437	10.387
8351	0	50.0575	19.7556
18505	0	52.0647	6.10998
26375	0	39.0648	17.7189
15194	0	50.0599	3.25866
8462	0	51.0479	4.68432
15923	0	56.0076	10.7943
8835	0	49.0251	8.14664
23842	1	53.0821	20370.9
4141	0	59.0699	1.42566
4469	0	53.0418	9.77597
21324	0	59.0224	12.6273
9640	0	51.0038	8.14664
26607	0	48.0698	19.3483
9048	1	50.0717	20367.8
6806	0	46.0887	7.94297
4221	0	53.0343	11.609
3374	1	53.0084	20368
19678	0	56.0212	4.68432
5512	0	58.0349	10.998
17207	0	49.0632	10.387
25807	1	58.0185	20384.3
29309	0	61.0713	2.03666
28534	0	60.0511	14.4603
15984	0	43.0867	7.73931
26748	2	48.0313	40746
24356	0	55.0351	20.1629
13618	0	57.0378	5.49898
26296	1	44.0271	20381.7
31257	2	43.0467	40744.6
3829	0	52.0194	11.4053
7337	0	41.0169	18.1263
12272	0	52.0033	3.86965
28734	0	40.0289	20.3666
4771	0	59.076	8.14664
4750	1	51.0173	20379.4
24577	0	47.0644	16.0896
30065	1	55.0815	20374.5
23154	0	52.0536	15.4786
29315	1	47.0756	20378.2
3727	0	59.0314	14.4603
20226	0	54.0195	17.1079
6331	0	48.0373	9.36864
15420	0	50.0556	12.831
12479	0	69.0308	1.83299
31127	0	70.0969	4.27699
13373	0	52.0601	10.387
5892	0	56.0306	4.48065
5306	0	51.0925	5.29532
21548	0	48.039	15.0713
5938	1	52.0765	20386.2
1079	0	53.0415	2.85132
25453	0	53.05	20.7739
2763	0	55.0039	11.2016
10946	1	42.0736	20385.1
26490	0	52.0106	13.2383
805	0	56.0272	18.7373
30863	0	45.05	16.4969
3595	0	47.082	13.2383
314	0	55.0194	16.4969
12335	0	46.0761	12.22
6839	0	49.0562	5.90631
29512	0	48.0982	3.05499
147	0	57.0879	10.1833
24206	0	54.0499	13.8493
29397	0	56.0989	23.8289
10541	0	52.0713	20.5703
22818	0	56.0251	4.68432
30882	0	60.0492	11.2016
26629	1	53.0188	20368.4
17497	3	43.0964	61117.7
15597	1	52.0718	20375.6
3057	2	56.009	40740.7
15333	0	59.0943	7.12831
18600	0	44.0962	13.6456
18739	0	52.0982	8.35031
24878	0	56.0836	20.7739
12511	0	55.071	5.29532
14772	0	55.0917	2.03666
32688	0	57.0888	12.4236
9312	0	61.0676	4.48065
8450	1	55.0327	20383.3
6011	0	56.0655	6.51731
19622	0	50.0361	12.0163
19153	0	53.0541	4.27699
4508	0	57.0198	23.0143
19860	0	49.0901	17.7189
21773	2	44.0744	40753
27870	0	46.0076	3.46232
31450	0	61.0858	1.01833
347	1	47.086	20377
32097	0	46.0888	9.77597
786	0	52.0122	2.85132
14171	0	61.0286	7.53564
