Seed	CV	CpuTime	PRPD
24710	2	50.0485	32461.9
14732	2	51.0614	32465.7
20819	1	49.0476	16229.5
16435	1	48.0321	16229.5
29127	0	51.0787	0.162338
17098	0	52.0035	0.162338
776	1	56.0331	16233.6
10390	2	53.0742	32468.5
7624	0	46.0812	0.162338
19354	1	49.0914	16235.9
1820	1	52.0941	16229.5
16840	0	47.0639	0.162338
16493	1	43.0377	16236
26219	1	47.0148	16229.5
3682	1	48.0788	16233.6
19418	1	39.0632	16236
27313	1	50.0201	16229.5
7807	0	49.0084	0.162338
13837	0	49.0211	0.162338
14184	0	53.0747	0.162338
4987	1	50.0247	16229.4
2323	2	51.0503	32469.5
21261	1	55.052	16236
4734	2	46.0889	32469.5
10020	1	51.08	16229.5
20172	0	48.0836	0.162338
20022	1	54.0553	16236
23289	1	53.0116	16229.5
16424	1	53.0476	16235.9
8521	1	53.0002	16229.5
17881	0	48.0503	0.162338
13793	0	51.033	0.162338
18404	2	52.0149	32468.5
27981	0	50.0899	0.162338
32509	2	46.1	32462.8
14530	1	46.0989	16229.4
19485	1	47.0807	16235.9
5985	0	49.002	0.162338
29834	1	51.0389	16229.5
19610	1	48.0721	16236
5317	0	51.0797	0.162338
4895	0	51.0435	0.162338
5503	1	48.0746	16236
18899	1	48.0368	16229.5
25719	1	54.059	16233.6
19142	1	50.0373	16236
17296	2	59.0144	32469.5
11302	1	52.057	16229.5
4864	1	47.0879	16236
32274	1	53.0495	16236
21549	0	48.0623	0.162338
3338	1	45.0346	16236
15750	1	51.0421	16236
13396	2	46.0123	32461
12864	2	51.0868	32463
13370	0	56.0941	0.162338
2369	1	54.0284	16229.5
3866	0	50.0064	0
6319	1	51.0341	16229.5
4666	0	51.0143	0.162338
19936	0	47.0229	0.162338
21081	2	47.0352	32463
24695	1	47.0663	16233.6
16683	1	46.0859	16233.6
29318	1	54.0235	16233.6
22877	2	48.0743	32465.7
5878	2	52.0712	32468.3
32095	0	49.0299	0.974026
8929	0	48.0507	0.162338
1393	1	48.063	16236
26190	0	53.0167	0.162338
16271	1	47.0931	16236
32244	0	51.0876	0.162338
11819	0	54.04	0
11960	0	48.0405	0.162338
13428	2	60.048	32460.9
27480	0	51.0013	0.811688
1610	1	49.0059	16236
4553	1	48.0759	16229.4
17536	1	52.0079	16236
18125	1	51.0081	16229.5
28674	1	50.0951	16236
13902	1	51.0529	16233.6
27570	3	52.0512	48699.2
2847	1	53.0622	16236
18907	1	49.092	16229.5
31810	0	51.0197	0.162338
1442	2	55.0677	32469.5
392	2	59.071	32461
17477	1	46.072	16229.5
18819	1	53.0471	16236
14932	0	51.0477	0.162338
6665	1	55.0806	16229.5
28869	2	58.0916	32465.7
20847	0	53.051	0.162338
1074	1	53.0217	16236
11901	1	58.0557	16236
13399	2	52.0633	32461
23592	1	50.0629	16236
20038	1	57.0221	16236
