Seed	CV	CpuTime	PRPD
8034	56	15.0429	910587
2072	66	12.088	1.07317e+06
1283	71	13.0725	1.15448e+06
9764	66	13.0338	1.07318e+06
9741	71	12.0607	1.15448e+06
14969	68	15.0319	1.10569e+06
32422	64	11.0186	1.04068e+06
24325	67	12.0619	1.08946e+06
20544	71	14.0274	1.15449e+06
10997	64	13.0873	1.04068e+06
24061	58	12.0818	943118
10183	70	16.0574	1.13821e+06
10208	66	15.0287	1.07318e+06
6996	61	14.0067	991893
26502	66	17.0039	1.07318e+06
19129	70	16.0493	1.13822e+06
23259	69	19.0967	1.12194e+06
29012	63	14.0683	1.02441e+06
523	65	14.0574	1.05693e+06
11010	66	14.0637	1.07318e+06
4951	67	18.052	1.08945e+06
20222	64	14.0065	1.04066e+06
3040	63	16.0734	1.02439e+06
20384	67	16.0978	1.08945e+06
17553	66	13.0288	1.0732e+06
11299	61	14.0478	991888
13188	59	10.0741	959393
11511	58	16.037	943107
13825	61	16.0748	991887
9915	63	19.0725	1.02441e+06
31799	69	11.071	1.12198e+06
751	68	12.0897	1.1057e+06
8395	73	14.0613	1.187e+06
5152	65	14.0291	1.05694e+06
16921	68	16.0041	1.1057e+06
13583	58	13.0424	943097
3207	62	14.0054	1.00815e+06
2077	64	14.0322	1.04067e+06
12462	63	13.074	1.0244e+06
32302	64	13.0007	1.04066e+06
1669	69	15.0461	1.12196e+06
7297	68	13.0405	1.10572e+06
27845	71	11.0711	1.15448e+06
10404	72	10.0638	1.17077e+06
11969	69	13.0212	1.12196e+06
6932	66	15.0968	1.07319e+06
24377	62	15.0222	1.00814e+06
19821	66	11.0466	1.07319e+06
19300	65	16.0046	1.05693e+06
11449	68	15.0911	1.1057e+06
15026	65	22.0414	1.05692e+06
11358	71	18.064	1.15447e+06
310	64	12.0578	1.04067e+06
9254	71	11.0607	1.15449e+06
31395	65	14.0085	1.05693e+06
4608	69	14.0336	1.12198e+06
18848	69	13.0319	1.12196e+06
17586	69	15.0173	1.12197e+06
5808	63	20.0591	1.02439e+06
2103	68	11.0263	1.10571e+06
21388	72	10.0589	1.17075e+06
12979	68	14.0657	1.10571e+06
12498	67	18.0838	1.08944e+06
23531	68	13.0651	1.1057e+06
14138	73	14.0203	1.187e+06
174	71	14.0122	1.15449e+06
11601	68	11.0394	1.10572e+06
12208	67	12.0839	1.08945e+06
32380	64	14.0253	1.04068e+06
983	67	13.0701	1.08945e+06
21467	65	14.0298	1.05693e+06
24881	71	12.0691	1.15448e+06
22560	65	14.0253	1.05693e+06
24145	63	21.0765	1.0244e+06
11500	70	14.08	1.13823e+06
19428	65	21.0062	1.05691e+06
337	70	13.0558	1.13823e+06
5613	68	13.0196	1.10571e+06
2420	71	12.0534	1.15448e+06
15726	73	13.0055	1.187e+06
3503	70	14.0911	1.13821e+06
2051	65	13.0238	1.05693e+06
13249	66	20.0665	1.07317e+06
18651	63	17.0652	1.02442e+06
8914	65	14.0956	1.05693e+06
3310	65	17.0551	1.05692e+06
27105	62	16.0869	1.00813e+06
23228	68	11.0003	1.10573e+06
6270	70	14.0824	1.13823e+06
1693	68	13.0665	1.10571e+06
27889	70	12.0495	1.13822e+06
22059	65	14.0194	1.05693e+06
21759	64	16.0017	1.04068e+06
27348	74	10.0951	1.20327e+06
1347	63	16.0681	1.0244e+06
12291	72	13.0443	1.17074e+06
17282	70	15.0036	1.13822e+06
12019	73	14.0155	1.18701e+06
22572	67	12.0849	1.08944e+06
22241	70	12.0787	1.13824e+06
