Seed	CV	CpuTime	PRPD
7630	62	17.0862	1.0065e+06
22215	67	16.0223	1.08766e+06
18220	60	21.0429	974034
22249	63	19.0759	1.02273e+06
31876	61	18.0801	990256
22573	61	15.072	990270
8400	67	16.0014	1.08766e+06
18501	69	16.0446	1.12012e+06
22006	58	23.0744	941570
12033	63	18.0744	1.02273e+06
11046	67	17.0005	1.08768e+06
26161	65	20.0018	1.05521e+06
14581	61	19.0166	990269
31351	66	15.0988	1.07144e+06
16931	55	23.0272	892870
15611	67	17.0037	1.08768e+06
10461	69	18.0194	1.12012e+06
30803	68	16.0499	1.10389e+06
11820	68	22.0235	1.10388e+06
32210	65	17.0104	1.05519e+06
5233	66	20.0643	1.07143e+06
14984	58	22.0423	941565
29431	55	16.086	892874
18713	69	18.0598	1.12013e+06
14036	59	18.0055	957789
12590	66	19.0793	1.07143e+06
24529	64	18.0743	1.03896e+06
12637	68	19.0824	1.10391e+06
30514	64	20.0556	1.03896e+06
30964	64	22.0338	1.03896e+06
25278	64	21.0716	1.03896e+06
10432	66	12.0977	1.07143e+06
32642	68	15.0588	1.1039e+06
18236	67	19.0622	1.08766e+06
25541	66	18.0345	1.07143e+06
7021	62	23.0218	1.00651e+06
10140	67	19.0223	1.08765e+06
10351	66	15.0342	1.07143e+06
10180	65	16.066	1.0552e+06
26496	58	19.0453	941547
15922	62	16.0231	1.00651e+06
29372	67	19.0008	1.08767e+06
5385	61	19.0081	990266
9376	66	21.0064	1.07144e+06
9077	65	17.0227	1.05521e+06
27857	56	21.0951	909089
7502	67	18.0316	1.08768e+06
4754	59	18.0445	957808
26265	67	19.0208	1.08767e+06
21458	67	19.0797	1.08765e+06
606	65	14.0514	1.05521e+06
30684	61	15.0384	990260
10621	59	15.0622	957810
31157	68	15.0923	1.10391e+06
29634	62	20.0525	1.0065e+06
30182	62	24.0355	1.0065e+06
32411	60	20.0926	974037
4238	65	21.0795	1.05521e+06
1333	65	21.0112	1.05519e+06
24726	65	18.0635	1.0552e+06
14620	60	23.0586	974016
31974	68	17.0003	1.10389e+06
31873	65	18.0942	1.05521e+06
9346	57	18.0679	925332
26952	61	15.0808	990269
32587	63	20.0928	1.02272e+06
10216	69	17.0619	1.12012e+06
997	66	19.0158	1.07144e+06
25823	59	18.095	957791
9811	63	20.0422	1.02273e+06
12424	65	19.0714	1.0552e+06
15305	63	17.0272	1.02273e+06
13472	63	22.0522	1.02274e+06
32614	58	19.0622	941550
15516	69	18.0903	1.12014e+06
15540	58	18.0152	941569
26809	62	21.0141	1.00649e+06
19178	59	22.0395	957808
29502	66	15.0724	1.07144e+06
4722	59	17.0882	957800
7234	65	21.0268	1.05521e+06
19356	66	17.0539	1.07144e+06
6757	60	19.014	974028
28089	61	19.0944	990265
12315	62	22.0385	1.00649e+06
27387	69	20.0772	1.12013e+06
7059	59	17.0783	957798
2194	73	17.0179	1.18507e+06
18619	63	18.0029	1.02273e+06
10592	61	22.0151	990268
31993	67	14.052	1.08766e+06
21492	62	21.0843	1.00649e+06
17863	62	17.085	1.0065e+06
8618	66	16.0377	1.07144e+06
10776	67	17.0977	1.08767e+06
3572	64	15.0522	1.03898e+06
16472	64	18.0836	1.03896e+06
25773	65	15.0508	1.0552e+06
11443	69	17.0992	1.12013e+06
17582	69	17.0421	1.12013e+06
