Seed	CV	CpuTime	PRPD
6687	23	25.0004	437283
27567	48	21.0148	912560
18832	36	21.0435	684437
12181	44	15.0476	836536
30567	57	17.0171	1.08369e+06
16388	42	20.0607	798486
28096	36	20.0122	684421
3776	21	29.0883	399261
26271	45	23.0119	855543
29647	26	32.0801	494317
11406	33	24.0653	627392
18273	28	25.0153	532342
23223	26	27.0565	494315
20044	24	21.0723	456302
4732	34	27.0769	646398
9570	33	24.0036	627405
30163	40	20.0173	760478
10501	38	17.0315	722468
4427	50	20.0664	950586
24879	41	17.0558	779480
4375	37	22.0581	703442
32692	43	25.0076	817510
3628	40	24.0993	760471
11013	41	24.0794	779501
29071	40	18.0571	760465
3883	36	21.0157	684424
32735	37	19.0558	703454
4792	34	20.0421	646406
5272	40	15.0547	760494
6071	24	23.0941	456304
3981	44	22.0135	836523
6422	41	19.039	779490
866	32	23.0398	608375
16021	34	20.0432	646415
23012	39	22.0306	741463
2591	27	25.0928	513329
31951	28	23.0144	532345
4922	27	33.0343	513323
22841	28	23.0764	532344
22597	34	21.0711	646425
15766	26	25.0062	494324
23633	37	19.0884	703440
30817	42	24.0844	798496
10877	45	18.0672	855534
9657	46	22.0761	874544
8729	32	24.0261	608394
5982	38	21.0596	722459
10596	47	22.0197	893565
5961	26	23.0788	494315
23415	30	22.0232	570373
31057	43	21.0061	817512
27283	33	22.037	627408
2042	31	21.0979	589356
21437	22	25.0959	418278
9408	32	25.0173	608378
22576	45	17.0804	855534
29728	40	19.0222	760490
4772	37	17.0923	703444
1908	33	20.0254	627393
854	42	20.0687	798494
8459	20	28.0888	380248
1610	27	25.0563	513330
1190	37	18.0391	703446
22287	33	22.0703	627385
9848	49	18.0506	931586
19526	30	22.0746	570357
8109	43	20.065	817516
20629	33	21.0942	627401
6253	44	18.0877	836528
20446	38	23.0119	722474
11698	28	21.0537	532349
13634	37	27.0933	703435
4890	32	26.0688	608382
13975	43	25.0411	817499
4119	50	19.0298	950581
2811	26	20.0054	494325
7865	34	18.0543	646412
7261	34	19.0594	646417
21766	34	24.0576	646407
7181	40	20.0154	760463
7055	39	21.0733	741451
22109	36	19.0784	684447
2301	35	23.0142	665416
7289	26	23.0597	494314
22406	37	24.0355	703453
11739	30	26.0184	570346
12630	43	20.0314	817501
12136	27	26.0463	513340
4757	38	20.0225	722450
31887	31	27.0238	589382
19616	42	24.0446	798503
20447	26	28.0299	494316
30928	29	23.0437	551345
16844	35	22.0359	665408
23039	30	22.0316	570377
12757	50	18.0098	950586
20037	35	20.074	665421
9911	38	23.0283	722461
25771	31	25.0541	589366
17520	46	20.0838	874548
